node,mean,se 
1,1.02866278688,0.0199244195564
3,1.01611528079,0.0107239176339
5,1.03115446098,0.0321296809435
7,0.959134457708,0.0383353231097
9,0.990156813235,0.0137456968063
11,0.992257867912,0.00884036771082
13,0.97947209429,0.00763136591094
15,0.95807794344,0.0315786677768
17,0.960483290662,0.0327411644545
19,0.965627674042,0.0131619020257
21,0.958958150421,0.0334880594318
23,0.965037459539,0.0171450167676
25,0.909732489423,0.0324227573712
27,0.948516172669,0.0173733595514
29,0.919697143505,0.0461207719638
31,0.93270373775,0.0340763445308
33,0.928987926173,0.0235310895124
35,0.94598938317,0.0701119410989
37,0.92867376233,0.0139187602861
39,0.917910650911,0.0145979076643
41,0.898209823405,0.0142306312622
43,0.887607363494,0.0146594549769
45,0.888015406263,0.0149578241327
47,0.899611951619,0.013806453038
49,0.942353846731,0.0303850336722
51,0.909036163525,0.0393146135943
53,0.907818237855,0.0444847985386
55,0.896058929654,0.0275978881812
57,0.907628173646,0.0555012545929
59,0.891338072218,0.0299836385919
61,0.889109068851,0.0276189749559
63,0.875990462854,0.0173441396221
65,0.897295394409,0.0322537503857
67,0.899652265341,0.0331254913238
69,0.892556023843,0.0340406923706
71,0.925618920576,0.0566625504603
73,0.929309744233,0.0380471003138
75,0.927283057896,0.0388780610458
77,0.902117982394,0.0405511158529
79,0.88623236695,0.0512639027161
81,0.875771658255,0.0357775780655
83,0.874657196776,0.0372135824456
85,0.884534666268,0.042258949217
87,0.857238317429,0.0113303014168
89,0.892196726028,0.0349704432568
91,0.875104966104,0.0127688849256
93,0.879198652533,0.0192410031277
95,0.881539841952,0.0206942414792
97,0.905245281805,0.0328496318931
99,0.84910149483,0.0365092100231
101,0.882302135171,0.048096461694
103,0.879573013657,0.0495539934104
105,0.875762803029,0.0487366930922
107,0.879013925608,0.052652597035
109,0.95425692574,0.0799162422827
111,0.94730142848,0.0591868567882
113,0.960262901763,0.0972254241537
115,0.967255717481,0.0990433636378
117,0.963919053791,0.0998944705186
119,0.969625829691,0.10354299989
121,0.834081105081,0.0459887774159
123,0.875617409751,0.0292960780872
125,0.873945125755,0.0292037958385
127,0.872873733892,0.0293335185151
129,0.872603977062,0.0317098225445
131,0.838440330928,0.0622350891639
133,0.850486679513,0.0643567333628
135,0.84885017169,0.0598027899334
137,0.850153142351,0.0632066293054
139,0.844816995798,0.0636838589422
141,0.933379133235,0.127120165151
143,0.929144527385,0.127495021433
145,0.952351077026,0.118968355248
147,0.947845436937,0.119702743298
149,0.892546380768,0.0586812948046
151,0.964110260684,0.089681723561
153,0.960493536579,0.0901284559688
155,0.878168901017,0.127744020748
157,0.879455471631,0.129660477751
159,0.937956243148,0.132808421398
161,0.848039027747,0.0531305666133
163,0.855165696444,0.0552649617381
165,0.886027890629,0.122363692147
167,0.932180386684,0.0834888586405
169,0.935079638001,0.0828243321242
171,0.875648035206,0.0896025549179
173,0.866790089725,0.0864138355292
175,0.875341188257,0.100576894586
177,0.87452461717,0.102775258305
179,0.983923362389,0.0874607377373
181,0.963405510482,0.0616636001033
183,0.968294467659,0.0670256098446
185,0.956831381388,0.192175208376
187,0.832696876732,0.0717183184073
189,0.959753744483,0.203710262029
191,0.845377267765,0.0524313499759
193,0.843339620222,0.051761885685
195,0.842500600948,0.0511718551205
197,0.845156224809,0.0514666754165
199,0.867697891938,0.0953640801444
