,rate,comps,nodes,LL_mean,LL_sd
152,0.001,4,15,-3.69794,0.447902
153,0.001,4,17,-3.8382,0.416279
154,0.001,4,19,-4.0134,0.415894
155,0.001,4,20,-3.71687,0.264031
156,0.001,4,22,-3.77488,0.365013
157,0.001,4,24,-3.68377,0.12215
158,0.001,4,26,-3.49021,0.470376
159,0.001,4,28,-3.70675,0.432018
160,0.001,4,29,-3.63435,0.288881
161,0.001,4,31,-3.67129,0.205669
162,0.001,4,33,-3.88724,0.281885
163,0.001,4,35,-3.6154,0.150394
164,0.001,4,37,-3.85594,0.352142
165,0.001,4,38,-3.83148,0.332648
166,0.001,4,40,-3.72254,0.345245
167,0.001,4,42,-4.00334,0.271474
168,0.001,4,44,-3.64804,0.139193
169,0.001,4,46,-3.82314,0.232214
170,0.001,4,47,-3.72938,0.427593
171,0.001,4,49,-3.60408,0.315392
172,0.001,4,51,-3.6366,0.491254
173,0.001,4,53,-3.3455,0.432707
174,0.001,4,55,-3.71741,0.131482
175,0.001,4,56,-3.64333,0.223599
176,0.001,4,58,-3.71486,0.217995
177,0.001,4,60,-3.48184,0.504873
178,0.001,4,62,-3.76374,0.279261
179,0.001,4,64,-3.7857,0.256521
180,0.001,4,65,-3.49381,0.507141
181,0.001,4,67,-3.7265,0.203528
182,0.001,4,69,-3.74518,0.442375
183,0.001,4,71,-3.71087,0.31944
184,0.001,4,73,-3.60413,0.316571
185,0.001,4,74,-3.76911,0.334406
186,0.001,4,76,-3.57911,0.393792
187,0.001,4,78,-3.61148,0.484603
188,0.001,4,80,-3.88932,0.223822
189,0.001,4,82,-3.72599,0.291759
190,0.001,4,83,-3.75336,0.124505
191,0.001,4,85,-3.68467,0.341013
192,0.001,4,87,-3.81031,0.133197
193,0.001,4,89,-3.55862,0.0436059
194,0.001,4,91,-3.66594,0.65085
195,0.001,4,92,-3.69192,0.257274
196,0.001,4,94,-3.62548,0.407574
197,0.001,4,96,-3.58053,0.40274
198,0.001,4,98,-3.56234,0.423022
199,0.001,4,100,-3.89047,0.267553
200,0.001,5,15,-3.87768,0.523131
201,0.001,5,16,-4.10196,0.0651416
202,0.001,5,18,-3.92893,0.410342
203,0.001,5,20,-3.85452,0.158148
204,0.001,5,21,-3.5605,0.478186
205,0.001,5,23,-4.05759,0.254956
206,0.001,5,25,-3.87515,0.374488
207,0.001,5,27,-3.76893,0.483319
208,0.001,5,28,-3.64439,0.404157
209,0.001,5,30,-3.92075,0.27157
210,0.001,5,32,-3.84729,0.410382
211,0.001,5,34,-3.85369,0.404291
212,0.001,5,35,-3.77344,0.418207
213,0.001,5,37,-3.78764,0.277394
214,0.001,5,39,-3.83032,0.331895
215,0.001,5,41,-3.81546,0.307545
216,0.001,5,42,-3.56741,0.207248
217,0.001,5,44,-3.87956,0.298239
218,0.001,5,46,-3.66927,0.266445
219,0.001,5,47,-4.11356,0.47861
220,0.001,5,49,-3.84322,0.343684
