rsn,bucket,vet11950,vet11951,vet11952,vet11953,vet01950,vet01951,vet01952,vet01953
306,306-310,0.201170915,0.154631789,0.145448941,0.133823535,0.200858436,0.167738219,0.160466215,0.197281783
311,311-315,0.21149288,0.165798844,0.14497086,0.134241848,0.248700021,0.219736891,0.200394429,0.193485228
316,316-320,0.234749515,0.165837815,0.148575861,0.137919403,0.226552399,0.201960644,0.160083894,0.18327314
321,321-325,0.228091744,0.151307439,0.142480407,0.125294599,0.228976114,0.192315692,0.194190108,0.215048985
326,326-330,0.237180863,0.160853322,0.151693238,0.131218357,0.232139366,0.195433741,0.191844322,0.151192074
331,331-335,0.220319305,0.173848237,0.150694246,0.130625768,0.182792095,0.207034776,0.182466535,0.150272581
336,336-340,0.237586481,0.150521346,0.146370783,0.134026129,0.260797504,0.237593098,0.197802938,0.18046009
341,341-345,0.221643658,0.173082078,0.143582593,0.124443673,0.231878172,0.195433466,0.18167501,0.166790657
346,346-350,0.233110343,0.150684954,0.151650464,0.125107399,0.254968464,0.186223242,0.178616239,0.169209565
351,351-355,0.228165769,0.158095303,0.141997221,0.140289971,0.209270768,0.167732035,0.22147704,0.142289413
356,356-360,0.218412816,0.169621349,0.143402988,0.139944672,0.205556481,0.147880558,0.188036879,0.140431585
361,361-365,0.232965439,0.155870906,0.131693678,0.133888014,0.261570812,0.201024301,0.185787474,0.184677532
